5.70000e-02 2.42000e+01 2.56000e+01
7.04006e-01 2.52000e+01 2.42000e+01
1.08200e+00 2.64000e+01 2.28000e+01
1.44399e+00 2.78000e+01 2.18000e+01
1.81902e+00 2.92000e+01 2.06000e+01
2.18602e+00 3.02000e+01 1.92000e+01
2.56400e+00 3.14000e+01 1.78000e+01
2.96399e+00 3.28000e+01 1.68000e+01
3.36001e+00 3.42000e+01 1.56000e+01
3.75102e+00 3.52000e+01 1.42000e+01
4.11602e+00 3.64000e+01 1.28000e+01
4.47999e+00 3.78000e+01 1.18000e+01
4.86100e+00 3.92000e+01 1.06000e+01
5.22902e+00 4.02000e+01 9.20000e+00
5.61800e+00 4.14000e+01 7.80000e+00
6.00202e+00 4.28000e+01 6.80000e+00
6.36702e+00 4.42000e+01 5.60000e+00
6.73602e+00 4.52000e+01 4.20000e+00
7.10202e+00 4.64000e+01 2.80000e+00
7.47002e+00 4.78000e+01 1.80000e+00
8.41500e+00 1.40000e+00 4.78000e+01
8.80502e+00 2.80000e+00 4.68000e+01
9.19600e+00 4.20000e+00 4.56000e+01
9.55699e+00 5.20000e+00 4.42000e+01
9.92899e+00 6.40000e+00 4.28000e+01
1.02950e+01 7.80000e+00 4.18000e+01
1.07140e+01 9.20000e+00 4.06000e+01
1.10820e+01 1.02000e+01 3.92000e+01
1.14620e+01 1.14000e+01 3.78000e+01
1.18200e+01 1.28000e+01 3.68000e+01
1.21940e+01 1.42000e+01 3.56000e+01
1.25790e+01 1.52000e+01 3.42000e+01
1.29396e+01 1.64000e+01 3.28000e+01
1.33436e+01 1.78000e+01 3.18000e+01
1.37146e+01 1.92000e+01 3.06000e+01
1.41286e+01 2.02000e+01 2.92000e+01
1.44866e+01 2.14000e+01 2.78000e+01
1.48976e+01 2.28000e+01 2.68000e+01
